Tissue	Direction	ID	Description	GeneSet	GeneUniverse	p.val	Annotation
Leaf	Downregulated	PF01554.11	MatE	18	51	2.10489744760123e-07	Pfam
Leaf	Downregulated	PF03109.9	ABC1	8	15	0.000232554849585421	Pfam
Leaf	Downregulated	PF03514.7	GRAS	11	42	0.00413245045612013	Pfam
Leaf	Downregulated	PF00564.17	PB1	9	30	0.00439076292449622	Pfam
Leaf	Downregulated	PF00005.20	ABC_tran	18	106	0.00439076292449622	Pfam
Leaf	Downregulated	PF00004.22	AAA	18	108	0.00473881896497193	Pfam
Leaf	Downregulated	PF00085.13	Thioredoxin	12	56	0.00611336245742197	Pfam
Leaf	Downregulated	PF00249.24	Myb_DNA-binding	25	193	0.00887759090182832	Pfam
Leaf	Downregulated	PF00201.11	UDPGT	22	166	0.0143076444214822	Pfam
Leaf	Downregulated	PF00571.21	CBS	8	32	0.0174486633815534	Pfam
Leaf	Downregulated	PF00035.18	dsrm	6	19	0.0223953261225203	Pfam
Leaf	Downregulated	PF00153.20	Mito_carr	11	61	0.0288552826538332	Pfam
Leaf	Downregulated	PF03105.12	SPX	5	14	0.0316576588841165	Pfam
Leaf	Downregulated	PF02798.13	GST_N	12	72	0.0320321089123493	Pfam
Leaf	Upregulated	PF00582.19	Usp	12	45	0.000719874446164469	Pfam
Leaf	Upregulated	PF11721.1	Malectin	10	40	0.00439076292449622	Pfam
Leaf	Upregulated	PF01657.10	DUF26	12	58	0.00439076292449622	Pfam
Leaf	Upregulated	PF02992.7	Transposase_21	22	173	0.00854655328246453	Pfam
Leaf	Upregulated	PF00076.15	RRM_1	27	234	0.00854655328246453	Pfam
Leaf	Upregulated	PF00587.18	tRNA-synt_2b	5	11	0.00854655328246453	Pfam
Leaf	Upregulated	PF07714.10	Pkinase_Tyr	36	352	0.00854655328246453	Pfam
Leaf	Upregulated	PF00462.17	Glutaredoxin	8	35	0.0174486633815534	Pfam
Leaf	Upregulated	PF01398.14	Mov34	5	16	0.0372758014629149	Pfam
