Treatment	Soil	OTU_ID	Direction	baseMean	log2FoldChange_BSvsES	stderror	statistic	p.value	p.adjusted
Soil grown	Arbuckle	Acidobacteria	Enriched in by BS	722.73670687521	2.06827650836309	0.261885794450683	7.90156997859057	2.75412156016164e-15	3.27740465659236e-14
Soil grown	Arbuckle	Actinobacteria	Enriched in by BS	5595.67843079171	0.454852236215085	0.591264445791155	0.760182705096126	0.447145381434498	0.682183338342376
Soil grown	Arbuckle	Alphaproteobacteria	Enriched in ES	2578.76762311756	-1.05712399754937	0.410638334410819	-2.57733644529023	0.00995649874552601	0.0232318304062274
Soil grown	Arbuckle	Armatimonadetes	Enriched in by BS	28.9712327126442	1.43970158006551	0.605509000224284	2.37832260465687	0.0173916028697655	0.0390490705943791
Soil grown	Arbuckle	Bacteroidetes	Enriched in ES	884.830902706221	-1.50167718301966	0.427066559818811	-3.51356136144536	0.000442142278611792	0.00129913410258774
Soil grown	Arbuckle	BRC1	Enriched in by BS	3.85436563065642	3.64692740670064	1.02998034137968	3.42503876599146	0.000614711702498306	0.00174168315707853
Soil grown	Arbuckle	Chlamydiae	Enriched in ES	0.0482549683682653	0	1.80662362657935	0	1	1
Soil grown	Arbuckle	Chloroflexi	Enriched in ES	553.668182051782	-1.97959415875425	0.443230166818856	-4.45514977015752	8.38346492241626e-06	3.2181687927985e-05
Soil grown	Arbuckle	Cloacimonetes	Enriched in ES	0.346577986044287	0	2.04441047887937	0	1	1
Soil grown	Arbuckle	Crenarchaeota	Enriched in by BS	2.91551117129188	2.50868576487108	1.21170114798249	2.02156737084559	0.0432210657838846	0.0918447647907548
Soil grown	Arbuckle	Cyanobacteria	Enriched in by BS	11.0543683066936	1.16893236521047	1.09155094275196	1.07087390420898	0.284226130966979	0.479757582766957
Soil grown	Arbuckle	Deinococcus-Thermus	Enriched in ES	1.54042654408956	-0.0550532706606486	1.89407883576014	-0.0756804973701792	0.939673292331995	1
Soil grown	Arbuckle	Deltaproteobacteria	Enriched in ES	2405.36382739845	-2.59219727566138	0.532954420147484	-4.85681691559832	1.19287794707069e-06	5.79397860005765e-06
Soil grown	Arbuckle	Dependentiae	Enriched in ES	0.880224930410204	-1.56622260925886	1.58056505090416	-0.982172514626181	0.326014865829995	0.542598168304467
Soil grown	Arbuckle	Elusimicrobia	Enriched in ES	2.74790878602469	-0.423277820086906	0.665679841318142	-0.64334949155096	0.519997349188413	0.75005678246571
Soil grown	Arbuckle	Entotheonellaeota	Enriched in by BS	0.0933004908420024	0.376179300100343	1.83916816289698	0.187910856885618	0.850946531784415	1
Soil grown	Arbuckle	Epsilonbacteraeota	Enriched in by BS	0.574494702110856	1.51837983027079	1.82686803568555	0.810771525240714	0.417496889599372	0.658041455130137
Soil grown	Arbuckle	Euryarchaeota	Enriched in by BS	10.7740974382325	3.78418099155928	1.20498672408076	3.0999448596953	0.0019355667240257	0.00523482818543315
Soil grown	Arbuckle	FBP	Enriched in by BS	0.208255569947227	1.51616361534757	2.05339498708177	0.680964687923478	0.49589383459601	0.737642078961565
